"customer_state","total_revenue","total_orders","avg_order_value","revenue_percentage"
"SP",5769703.15,40501,142.46,37.42
"RJ",2055401.57,12350,166.43,13.33
"MG",1818891.67,11354,160.20,11.80
"RS",861472.79,5345,161.17,5.59
"PR",781708.80,4923,158.79,5.07
"SC",595127.78,3546,167.83,3.86
"BA",591137.81,3256,181.55,3.83
"DF",346123.35,2080,166.41,2.24
"GO",334212.35,1957,170.78,2.17
"ES",317657.93,1995,159.23,2.06
