"pareto_segment","product_count","total_products","pct_of_products","segment_revenue","pct_of_revenue"
"Top 20% Products",6443,32216,20.0,11274224.83,73.1
"Remaining 80% Products",25773,32216,80.0,4145548.92,26.9
